date,balance,count
2012-10-28,1278.089162,30
2012-11-04,1276.566582,30
2012-11-11,1276.50404,30
2012-11-18,1276.434533,30
2012-11-25,1276.434533,30
2012-12-02,1266.982648,30
2012-12-09,1266.982644,31
2012-12-16,1249.033612,30
2012-12-23,1249.033612,31
2012-12-30,1255.533609,31
2013-01-06,1255.163019,31
2013-01-13,1255.163019,32
2013-01-20,1258.363009,31
2013-01-27,1258.362898,31
2013-02-03,1257.463666,31
2013-02-10,1256.932905,31
2013-02-17,1256.54638,31
2013-02-24,1256.54638,31
2013-03-03,1255.522249,30
2013-03-10,1253.993688,30
2013-03-17,1253.4507,30
2013-03-24,1452.835394,30
2013-03-31,1452.280741,31
2013-04-07,1448.296615,31
2013-04-14,1447.823496,31
2013-04-21,1447.795676,30
2013-04-28,1447.591793,29
2013-05-05,1447.527566,29
2013-05-12,1440.347075,29
2013-05-19,1440.212636,29
2013-05-26,1439.710683,29
2013-06-02,1432.042258,29
2013-06-09,1429.563259,29
2013-06-16,1429.563259,29
2013-06-23,1429.563046,28
2013-06-30,1429.556716,28
2013-07-07,1420.238591,28
2013-07-14,1412.259913,27
2013-07-21,1412.259913,27
2013-07-28,1412.259913,27
2013-08-04,1391.566853,27
2013-08-11,1391.566669,27
2013-08-18,1396.152519,28
2013-08-25,1368.576789,27
2013-09-01,1368.576758,28
2013-09-08,1366.727615,28
2013-09-15,1366.727302,28
2013-09-22,1392.727181,28
2013-09-29,1392.727141,29
2013-10-06,1365.640881,29
2013-10-13,1365.640877,29
2013-10-20,1365.640867,29
2013-10-27,1365.640867,29
2013-11-03,1390.555197,29
2013-11-10,1390.555197,29
2013-11-17,1390.555191,30
2013-11-24,1389.6174,30
2013-12-01,1646.894885,30
2013-12-08,1626.045671,31
2013-12-15,1625.720416,31
2013-12-22,1641.561575,31
2013-12-29,1641.409644,32
2014-01-05,1605.884996,32
2014-01-12,1605.847895,32
2014-01-19,1605.845975,32
2014-01-26,1605.845965,32
2014-02-02,1605.845704,32
2014-02-09,1605.809454,32
2014-02-16,1600.316378,32
2014-02-23,1599.312455,32
2014-03-02,1598.925914,32
2014-03-09,1601.687081,32
2014-03-16,1601.023793,33
2014-03-23,1600.720771,33
2014-03-30,1600.653174,33
2014-04-06,1585.805977,33
2014-04-13,1585.727009,33
2014-04-20,1585.703567,33
2014-04-27,1598.083465,33
2014-05-04,1598.014491,33
2014-05-11,1597.76345,33
2014-05-18,1597.720902,34
2014-05-25,1622.562809,34
2014-06-01,1622.477125,34
2014-06-08,1622.11469,35
2014-06-15,1621.907612,35
2014-06-22,1621.026868,35
2014-06-29,1627.150721,35
2014-07-06,1617.780344,35
2014-07-13,1617.449901,36
2014-07-20,1656.959308,36
2014-07-27,1674.663651,37
2014-08-03,1670.4686,38
2014-08-10,1666.413458,38
2014-08-17,1666.263324,37
2014-08-24,1672.203289,37
2014-08-31,1671.97538,36
2014-09-07,1653.195611,36
2014-09-14,1669.142275,35
2014-09-21,1675.721654,34
2014-09-28,1672.677271,34
2014-10-05,1663.372857,34
2014-10-12,1663.15423,34
2014-10-19,1762.320839,34
2014-10-26,1761.437513,34
2014-11-02,1759.332564,35
2014-11-09,1758.272524,35
2014-11-16,1732.787993,35
2014-11-23,1732.353335,34
2014-11-30,1722.37402,34
2014-12-07,1695.640506,33
2014-12-14,1743.191094,33
2014-12-21,1785.741835,33
2014-12-28,1754.223822,35
2015-01-04,1202.958796,35
2015-01-11,1099.867875,33
2015-01-18,1098.107183,32
2015-01-25,1096.273291,32
2015-02-01,1066.399956,32
2015-02-08,1029.191979,36
2015-02-15,796.709521,35
2015-02-22,782.310912,33
2015-03-01,763.431601,31
2015-03-08,647.215893,30
2015-03-15,603.041163,27
2015-03-22,602.601887,27
2015-03-29,601.94146,27
2015-04-05,591.979055,27
2015-04-12,590.277693,27
2015-04-19,574.659963,27
2015-04-26,562.332834,26
2015-05-03,530.260511,25
2015-05-10,527.92155,22
2015-05-17,519.117218,21
2015-05-24,442.498675,21
2015-05-31,393.300264,21
2015-06-07,387.966562,19
2015-06-14,399.266053,19
2015-06-21,421.969392,16
2015-06-28,237.027289,16
2015-07-05,225.706306,16
2015-07-12,170.798144,16
2015-07-19,170.797916,15
2015-07-26,170.793014,14
2015-08-02,170.792944,14
2015-08-09,170.792844,14
2015-08-16,170.792842,14
2015-08-23,170.792802,14
2015-08-30,170.792802,13
2015-09-06,170.792802,13
2015-09-13,170.792402,13
2015-09-20,170.761832,12
2015-09-27,170.761832,12
2015-10-04,170.761832,12
2015-10-11,170.761832,13
2015-10-18,170.761832,13
2015-10-25,170.761571,12
2015-11-01,180.761526,13
2015-11-08,180.761521,14
2015-11-15,230.760953,14
2015-11-22,230.760223,14
2015-11-29,230.759728,14
2015-12-06,230.759708,14
2015-12-13,230.759698,15
2015-12-20,250.757988,16
2015-12-27,264.757579,16
2016-01-03,264.743519,16
2016-01-10,309.743519,18
2016-01-17,337.743419,19
2016-01-24,352.701629,21
2016-01-31,398.830499,21
2016-02-07,398.829798,21
2016-02-14,398.826558,21
2016-02-21,398.826558,21
2016-02-28,398.8264,22
2016-03-06,433.82541,22
2016-03-13,438.02541,22
2016-03-20,438.02541,18
2016-03-27,445.62541,18
2016-04-03,445.62541,18
2016-04-10,445.62457,18
2016-04-17,445.62106,18
2016-04-24,453.6204,20
2016-05-01,462.07024,20
2016-05-08,462.07001,20
2016-05-15,462.06692,20
2016-05-22,462.06661,20
2016-05-29,462.06641,20
2016-06-05,462.06568,20
2016-06-12,462.06564,21
