code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
113680.SH,丽岛转债,有色金属,603937.SH,丽岛新材,139.16,11.15,-0.028017442654053,0.26978417266188,3.2739726027398,36.835525,12.91,86.367157242448,61.126062780269,-4.4469,103.82301094358,34.035796819284,A+,2.99844,3,1.8204167642238,8.7804878048781,2023-12-05
113681.SH,镇洋转债,基础化工,603213.SH,镇洋发展,141.328,13.91,-0.093312597200626,-1.137171286425,3.3945205479451,40.94222,10.95,127.03196347032,11.253889288282,-4.9531,109.57277486872,28.980944554266,AA-,5.47595,6.6,1.4733335247997,0.36075036075037,2024-01-17
113682.SH,益丰转债,医药生物,603939.SH,益丰药房,129.551,22.15,-0.92232155831047,-1.4241210502893,3.5726027397261,44.537006,31.44,70.45165394402,83.886385553047,-3.5085,107.24103659572,20.803569335486,AA,17.97232,17.97432,-1.0320697926693,-2.5516937967444,2024-03-27
113686.SH,泰瑞转债,机械设备,603289.SH,泰瑞机器,154.095,8.27,-0.58387096774194,-0.36144578313254,3.9013698630138,27.726655,8,103.375,49.064087061669,-6.4087,107.71768542971,43.054503432074,AA-,3.36334,3.378,1.0690978257305,3.5043804755945,2024-07-24
113688.SH,国检转债,社会服务,603060.SH,国检集团,140.98,5.46,-0.83493356404792,-2.1505376344086,4.1945205479451,16.701103,6.45,84.651162790698,66.542307692308,-4.5553,108.07097356465,30.45130931079,AA+,7.99746,8,0.68633542590647,1.2987012987013,2024-11-12
113691.SH,和邦转债,基础化工,603077.SH,和邦生物,153.198,2.41,-1.033605085337,0.41666666666668,4.2246575342465,143.855509,2,120.5,27.135269709544,-6.7227,106.1941929916,44.262125530835,AA,45.99089,46,-0.35448768399211,1.6877637130802,2024-11-19
113692.SH,保隆转债,汽车,603197.SH,保隆科技,133.999,29.9,0.10010084786911,-1.3526888815572,4.2328767123288,42.368208,39.16,76.35342185904,75.498355852843,-3.9161,104.82200963744,27.834793917301,AA,13.89697,13.9,0.75112781954887,3.2102174663445,2024-11-27
113693.SH,志邦转债,轻工制造,603801.SH,志邦家居,124.279,5.77,-0.74909956315836,-2.3688663282572,4.6109589041096,23.953131,11.13,51.841868823001,139.72708318891,-1.8278,104.78204456741,18.607153079595,AA,6.69981,6.7,-1.4792500693646,-0.68846815834768,2025-04-08
113694.SH,清源转债,电力设备,603628.SH,清源股份,129.35,9.47,-0.14204764772183,-0.3157894736842,4.668493150685,23.228105,12.85,73.696498054475,75.517159450898,-1.8528,94.440108042014,36.965112261895,A+,4.99932,5,0.88916621168395,1.3918629550321,2025-04-25
113695.SH,华辰转债,电力设备,603097.SH,江苏华辰,157.252,21.07,-0.6519926208587,0.33333333333333,4.868493150685,80.451948,16.68,126.31894484412,24.488056953014,-5.6938,93.338117276348,68.475650236677,A+,4.59665,4.6,3.3824873279994,16.408839779006,2025-07-10
113696.SH,伯25转债,汽车,603596.SH,伯特利,136.571,26.64,-1.0276181434752,-3.1272727272727,4.8986301369864,70.197949,35.16,75.767918088737,80.249112612613,-3.7656,103.18653616707,32.353507611569,AA,28.01795,28.02,-0.68935928853468,1.9517795637199,2025-07-28
